id,name,weight,measure,k
36619,"Restaurant, Chinese, kung pao chicken",604,1.0 order,82.1
11110,"Cabbage, cooked, boiled, drained, without salt",75,"0.5 cup, shredded",81.5
11751,"Cabbage, common, cooked, boiled, drained, with salt",75,"0.5 cup, shredded",81.5
11095,"Broccoli, frozen, spears, cooked, boiled, drained, without salt",92,0.5 cup,81.1
11683,"Carrot, dehydrated",74,1.0 cup,79.9
32013,"Potsticker or wonton, pork and vegetable, frozen, unprepared",145,5.0 pieces 1 serving,79.8
21420,"KFC, Coleslaw",112,1.0 package,79.4
36007,"T.G.I. FRIDAY'S, french fries",184,1.0 serving,79.3
36028,"DENNY'S, coleslaw",91,1.0 serving,78.4
11848,"Pumpkin leaves, cooked, boiled, drained, with salt",71,1.0 cup,76.7
11419,"Pumpkin leaves, cooked, boiled, drained, without salt",71,1.0 cup,76.7
11940,"Pickles, cucumber, sweet (includes bread and butter pickles)",160,"1.0 cup, chopped",75.4
11969,"Broccoli, chinese, cooked",88,1.0 cup,74.6
11941,"Pickles, cucumber, sour",155,1.0 cup,72.8
12147,"Nuts, pine nuts, dried",135,1.0 cup,72.8
9148,"Kiwifruit, green, raw",180,"1.0 cup, sliced",72.5
25020,"Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut",55,1.0 bar,71.1
11054,"Beans, snap, green, canned, regular pack, solids and liquids",240,1.0 cup,69.6
11506,"Sweet potato leaves, cooked, steamed, without salt",64,1.0 cup,69.5
11874,"Sweet potato leaves, cooked, steamed, with salt",64,1.0 cup,69.5
11109,"Cabbage, raw",89,"1.0 cup, chopped",67.6
11946,"Pickles, cucumber, sour, low sodium",143,"1.0 cup, chopped or diced",67.2
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",94,1.0 cup,66.4
11118,"Cabbage, kimchi",150,1.0 cup,65.4
21130,"Fast foods, onion rings, breaded and fried",117,1.0 package (18 onion rings),65.3
9292,"Plums, dried (prunes), stewed, without added sugar",248,"1.0 cup, pitted",64.7
11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",175,1.0 cup,64.4
15119,"Fish, tuna, light, canned in oil, drained solids",146,"1.0 cup, solid or chunks",64.2
11062,"Beans, snap, green, frozen, all styles, microwaved",111,1.0 cup,64
11141,"Celeriac, raw",156,1.0 cup,64
7006,"Bockwurst, pork, veal, raw",91,1.0 sausage,63.9
36607,"CRACKER BARREL, steak fries",198,1.0 serving,63.6
6584,"Soup, broccoli cheese, canned, condensed, commercial",121,1.0 serving 1/2 cup,62.7
11778,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",170,1.0 cup,62.6
11196,"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, without salt",170,1.0 cup,62.6
36014,"Restaurant, family style, french fries",170,1.0 serving,61
21253,"BURGER KING, WHOPPER, with cheese",316,1.0 item,60.4
16116,"Soy flour, full-fat, roasted",85,"1.0 cup, stirred",60.4
11932,"Beans, snap, yellow, canned, regular pack, drained solids",153,1.0 cup,60.1
36001,"APPLEBEE'S, Double Crunch Shrimp",206,1.0 serving,59.9
11053,"Beans, snap, green, cooked, boiled, drained, without salt",125,1.0 cup,59.9
11724,"Beans, snap, yellow, cooked, boiled, drained, without salt",125,1.0 cup,59.9
11725,"Beans, snap, yellow, cooked, boiled, drained, with salt",125,1.0 cup,59.9
11723,"Beans, snap, green, cooked, boiled, drained, with salt",125,1.0 cup,59.9
11729,"Beans, snap, green, canned, no salt added, drained solids",153,1.0 cup,59.5
11933,"Beans, snap, yellow, canned, no salt added, drained solids",153,1.0 cup,59.5
16115,"Soy flour, full-fat, raw",84,"1.0 cup, stirred",58.8
9508,"Fruit juice smoothie, NAKED JUICE, GREEN MACHINE",275,1.0 cup,58.3
36611,"DENNY'S, mozzarella cheese sticks",228,1.0 serving,57.9
11754,"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",170,"1.0 cup, shredded",57.8
11117,"Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt",170,"1.0 cup, shredded",57.8
11213,"Endive, raw",25,"0.5 cup, chopped",57.8
21270,"TACO BELL, Taco Salad",533,1.0 item,57
21252,"BURGER KING, WHOPPER, no cheese",291,1.0 item,56.7
11764,"Celery, cooked, boiled, drained, with salt",150,"1.0 cup, diced",56.7
11144,"Celery, cooked, boiled, drained, without salt",150,"1.0 cup, diced",56.7
11250,"Lettuce, butterhead (includes boston and bibb types), raw",55,"1.0 cup, shredded or chopped",56.3
36012,"Restaurant, family style, fried mozzarella sticks",245,1.0 serving,56.1
11011,"Asparagus, raw",134,1.0 cup,55.7
36002,"APPLEBEE'S, french fries",164,1.0 serving,54.8
11957,"Fennel, bulb, raw",87,"1.0 cup, sliced",54.6
11730,"Beans, snap, yellow, frozen, all styles, unprepared",121,1.0 cup,54.4
36016,"Restaurant, family style, shrimp, breaded and fried",169,1.0 serving,54.4
19444,"Snacks, tortilla chips, low fat, made with olestra, nacho cheese",28.35,1.0 oz,54.4
11060,"Beans, snap, green, frozen, all styles, unprepared",121,1.0 cup,54.2
9447,"Plantains, yellow, fried, Latino restaurant",169,1.0 cup,53.7
21126,"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",237,6.0 inch sub,53.1
21389,"Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise",374,1.0 item,52.7
21254,"BURGER KING, DOUBLE WHOPPER, no cheese",374,1.0 item,52.7
11056,"Beans, snap, green, canned, regular pack, drained solids",135,1.0 cup,52.5
36601,"Restaurant, Chinese, egg rolls, assorted",89,1.0 piece,52.4
11323,"Peas and carrots, frozen, cooked, boiled, drained, without salt",278,1.0 package (10 oz) yields,52.3
11973,"Beans, fava, in pod, raw",126,1.0 cup,51.5
11731,"Beans, snap, green, frozen, cooked, boiled, drained, with salt",135,1.0 cup,51.4
11732,"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",135,1.0 cup,51.4
11061,"Beans, snap, green, frozen, cooked, boiled, drained without salt",135,1.0 cup,51.4
11733,"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",135,1.0 cup,51.4
9310,"Rhubarb, frozen, cooked, with sugar",240,1.0 cup,50.6
21258,"BURGER KING, Premium Fish Sandwich",220,1.0 sandwich,49.5
36021,"APPLEBEE'S, coleslaw",76,1.0 serving,49.5
9352,"Blueberries, canned, light syrup, drained",244,1.0 cup,48.6
11810,"Peas, edible-podded, frozen, cooked, boiled, drained, with salt",160,1.0 cup,48.3
11303,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",160,1.0 cup,48.3
9038,"Avocados, raw, California",230,"1.0 cup, pureed",48.3
11251,"Lettuce, cos or romaine, raw",47,1.0 cup shredded,48.2
11114,"Cabbage, savoy, raw",70,"1.0 cup, shredded",48.2
21393,"Fast foods, hamburger; single, regular patty; double decker bun with condiments and special sauce",205,1.0 item,48
11707,"Asparagus, canned, no salt added, solids and liquids",122,0.5 cup,47.6
12585,"Nuts, cashew nuts, dry roasted, with salt added",137,"1.0 cup, halves and whole",47.5
12085,"Nuts, cashew nuts, dry roasted, without salt added",137,"1.0 cup, halves and whole",47.5
36610,"DENNY'S, french fries",165,1.0 serving,47.5
36405,"Restaurant, Latino, Arroz con frijoles negros (rice and black beans)",461,1.0 serving,47.5
9353,"Blueberries, wild, canned, heavy syrup, drained",319,1.0 cup,47.2
21259,"BURGER KING, Original Chicken Sandwich",199,1.0 sandwich,47.2
11280,"Okra, frozen, unprepared",95,0.33 package (10 oz),46.9
36406,"Restaurant, Latino, Arroz con habichuelas colorados (Rice And Red Beans)",590,1.0 serving,46
21255,"BURGER KING, DOUBLE WHOPPER, with cheese",399,1.0 item,45.9
11012,"Asparagus, cooked, boiled, drained",90,0.5 cup,45.5
11705,"Asparagus, cooked, boiled, drained, with salt",90,0.5 cup,45.5
11253,"Lettuce, green leaf, raw",36,1.0 cup shredded,45.5
11223,"Drumstick leaves, cooked, boiled, drained, without salt",42,"1.0 cup, chopped",45.4
11786,"Drumstick leaves, cooked, boiled, drained, with salt",42,"1.0 cup, chopped",45.4
12086,"Nuts, cashew nuts, oil roasted, without salt added",129,"1.0 cup, whole",44.8
12586,"Nuts, cashew nuts, oil roasted, with salt added",129,"1.0 cup, whole",44.8
14056,"Beverages, Acai berry drink, fortified",266,8.0 fl oz,44.4
22957,"Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",385,1.0 serving,44.3
11804,"Okra, frozen, cooked, boiled, drained, with salt",92,0.5 cup slices,44
11281,"Okra, frozen, cooked, boiled, drained, without salt",92,0.5 cup slices,44
36606,"CRACKER BARREL, farm raised catfish platter",178,1.0 serving,44
11192,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",165,1.0 cup,43.9
18401,"Pie crust, cookie-type, prepared from recipe, vanilla wafer, chilled",129,1.0 cup,43.9
11722,"Beans, snap, yellow, raw",100,"1.0 cup 1/2"" pieces",43.2
11052,"Beans, snap, green, raw",100,"1.0 cup 1/2"" pieces",43
27043,"Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",519,1.0 can,42.6
11246,"Leeks, (bulb and lower leaf-portion), raw",89,1.0 cup,41.8
11305,"Peas, green, cooked, boiled, drained, without salt",160,1.0 cup,41.4
11811,"Peas, green, cooked, boiled, drained, with salt",160,1.0 cup,41.4
11212,"Edamame, frozen, prepared",155,1.0 cup,41.4
9055,"Blueberries, frozen, sweetened",230,"1.0 cup, thawed",40.7
16113,Natto,175,1.0 cup,40.4
36030,"DENNY'S, hash browns",124,1.0 serving,40.4
22956,"Lasagna, Vegetable, frozen, baked",227,1.0 serving,40.4
9309,"Rhubarb, frozen, uncooked",137,"1.0 cup, diced",40.1
14163,"Beverages, chocolate drink, milk and soy based, ready to drink, fortified",237,8.0 fl oz,40.1
11962,"Peppers, hot chile, sun-dried",37,1.0 cup,40
11809,"Peas, edible-podded, cooked, boiled, drained, with salt",160,1.0 cup,40
11301,"Peas, edible-podded, boiled, drained, without salt",160,1.0 cup,40
14058,"Beverages, Whey protein powder isolate",86,3.0 scoop,40
18096,"Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery",138,1.0 piece (1/12 of a cake),39.9
11257,"Lettuce, red leaf, raw",28,1.0 cup shredded,39.3
11846,"Pumpkin, canned, with salt",245,1.0 cup,39.2
11424,"Pumpkin, canned, without salt",245,1.0 cup,39.2
9043,"Blackberry juice, canned",250,1.0 cup,38
11728,"Beans, snap, yellow, canned, no salt added, solids and liquids",120,0.5 cup,37.4
11727,"Beans, snap, yellow, canned, regular pack, solids and liquids",120,0.5 cup,37.4
11312,"Peas, green, frozen, unprepared",134,1.0 cup,37.4
11211,"Edamame, frozen, unprepared",118,1.0 cup,37.1
11344,"Pigeonpeas, immature seeds, raw",154,1.0 cup,37
9259,"Pears, dried, sulfured, uncooked",180,"1.0 cup, halves",36.7
11655,"Carrot juice, canned",236,1.0 cup,36.6
18140,"Cake, yellow, commercially prepared, with chocolate frosting, in-store bakery",144,1.0 piece (1/12 of a cake),36.1
11304,"Peas, green, raw",145,1.0 cup,36
21400,"Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",219,1.0 item,35.9
9307,"Rhubarb, raw",122,"1.0 cup, diced",35.7
21390,"Fast foods, hamburger; single, large patty; with condiments, vegetables and mayonnaise",247,1.0 item,35.3
16027,"Beans, kidney, all types, mature seeds, raw",184,1.0 cup,35
16111,"Soybeans, mature seeds, dry roasted",93,1.0 cup,34.4
11043,"Mung beans, mature seeds, sprouted, raw",104,1.0 cup,34.3
36604,"CRACKER BARREL, chicken tenderloin platter, fried, from kid's menu",103,1.0 serving,34.3
9046,"Blackberries, canned, heavy syrup, solids and liquids",256,1.0 cup,34
11112,"Cabbage, red, raw",89,"1.0 cup, chopped",34
18945,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",225,1.0 pie crust (average weight),33.8
18947,"Pie crust, deep dish, frozen, baked, made with enriched flour",202,1.0 pie crust (average weight),33.7
11816,"Peas and carrots, canned, no salt added, solids and liquids",255,1.0 cup,33.4
18943,"Pie Crust, Cookie-type, Chocolate, Ready Crust",182,1.0 crust,33.1
43312,"Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added",182,1.0 cup,33.1
16409,"Soybeans, mature seeds, cooked, boiled, with salt",172,1.0 cup,33
16109,"Soybeans, mature cooked, boiled, without salt",172,1.0 cup,33
35203,"Rose Hips, wild (Northern Plains Indians)",127,1.0 cup,32.9
21399,"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",355,1.0 item,32.7
11119,"Cabbage, chinese (pe-tsai), raw",76,"1.0 cup, shredded",32.6
35204,"Chokecherries, raw, pitted (Northern Plains Indians)",154,1.0 cup,32.5
22906,"Chicken pot pie, frozen entree, prepared",302,1.0 pie,32.3
3099,"Babyfood, vegetables, carrots, strained",224,1.0 cup,32.3
11279,"Okra, cooked, boiled, drained, without salt",80,0.5 cup slices,32
11803,"Okra, cooked, boiled, drained, with salt",80,0.5 cup slices,32
36015,"Restaurant, family style, chicken fingers, from kid's menu",114,1.0 serving,31.9
11116,"Cabbage, chinese (pak-choi), raw",70,"1.0 cup, shredded",31.8
9037,"Avocados, raw, all commercial varieties",150,"1.0 cup, cubes",31.5
11247,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",124,1.0 leek,31.5
11795,"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",124,1.0 leek,31.5
31035,"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",269,1.0 cup,31.5
21517,"Fast foods, crispy chicken in tortilla, with lettuce, cheese, and ranch sauce",133,1.0 item,31.4
11278,"Okra, raw",100,1.0 cup,31.3
36041,"Restaurant, Italian, lasagna with meat",457,1.0 serving,31.1
11923,"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",94,1.0 cup,31
42278,"Babyfood, vegetable and brown rice, strained",230,1.0 cup,30.8
36039,"Restaurant, family style, hash browns",94,1.0 cup,30.6
21397,"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",215,1.0 sandwich,30.5
11520,"Taro leaves, raw",28,1.0 cup,30.4
11345,"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",153,1.0 cup,30.3
11826,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",153,1.0 cup,30.3
11298,"Parsnips, raw",133,1.0 cup slices,29.9
21105,"Fast foods, fish sandwich, with tartar sauce",220,1.0 sandwich,29.9
9048,"Blackberries, frozen, unsweetened",151,"1.0 cup, unthawed",29.9
11581,"Vegetables, mixed, canned, drained solids",163,1.0 cup,29.7
11197,"Cowpeas, young pods with seeds, raw",94,1.0 cup,29.6
11143,"Celery, raw",101,1.0 cup chopped,29.6
43447,"Snacks, corn-based, extruded, chips, unsalted",88,"1.0 cup, crushed",29.6
11099,"Brussels sprouts, cooked, boiled, drained, without salt",21,1.0 sprout,29.5
11745,"Brussels sprouts, cooked, boiled, drained, with salt",21,1.0 sprout,29.5
14041,"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink",237,1.0 bottle,29.2
6338,"CAMPBELL'S, Cream of Mushroom Soup, condensed",129,0.5 cup condensed,29
42279,"Babyfood, peas and brown rice",230,1.0 cup,29
36042,"OLIVE GARDEN, lasagna classico",422,1.0 serving,28.7
16085,"Peas, green, split, mature seeds, raw",197,1.0 cup,28.6
9050,"Blueberries, raw",148,1.0 cup,28.6
11667,"Seaweed, spirulina, dried",112,1.0 cup,28.6
9042,"Blackberries, raw",144,1.0 cup,28.5
11044,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, without salt",124,1.0 cup,28.1
11718,"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",124,1.0 cup,28.1
3100,"Babyfood, vegetables, carrots, junior",224,1.0 cup,28
6001,"Soup, cream of asparagus, canned, condensed",126,0.5 cup (4 fl oz),27.7
11391,"Potatoes, hash brown, frozen, plain, prepared, pan fried in canola oil",150,1.0 cup prepared,27.2
4670,"USDA Commodity Food, oil, vegetable, low saturated fat",13.6,1.0 tbsp,26.9
22955,"Egg rolls, vegetable, frozen, prepared",68,1.0 egg roll,26.8
3092,"Babyfood, vegetables, green beans, junior",240,1.0 cup,26.6
21263,"TACO BELL, Soft Taco with steak",127,1.0 item,26.4
9442,"Pomegranate juice, bottled",249,1.0 cup,25.9
12638,"Nuts, mixed nuts, oil roasted, without peanuts, with salt added",144,1.0 cup,25.8
4699,"Oil, industrial, soy, low linolenic",14,1.0 tablespoon,25.7
11306,"Peas, green, canned, regular pack, solids and liquids",124,0.5 cup,25.7
22976,"Ravioli, cheese with tomato sauce, frozen, not prepared, includes regular and light entrees",159,1.0 cup,25.6
31022,"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",130,1.0 cup prepared,25.5
36609,"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",257,1.0 serving,25.4
9054,"Blueberries, frozen, unsweetened",155,"1.0 cup, unthawed",25.4
9260,"Pears, dried, sulfured, stewed, without added sugar",255,"1.0 cup, halves",25.2
9246,"Peaches, dried, sulfured, uncooked",160,"1.0 cup, halves",25.1
9134,"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",256,1.0 cup,25.1
25051,"Snacks, CLIF BAR, mixed flavors",68,1.0 bar,25
14047,"Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan",26,1.0 scoop,25
4531,"Oil, soybean lecithin",13.6,1.0 tablespoon,25
4700,"Oil, industrial, soy, ultra low linolenic",13.6,1.0 tablespoon,25
4044,"Oil, soybean, salad or cooking",13.6,1.0 tbsp,25
4701,"Oil, industrial, soy, fully hydrogenated",13.6,1.0 tablespoon,25
4669,"USDA Commodity Food, oil, vegetable, soybean, refined",13.6,1.0 tablespoon,25
4650,"Oil, industrial, soy, refined, for woks and light frying",13.6,1.0 tbsp,25
6043,"Soup, cream of mushroom, canned, condensed",126,0.5 cup,24.7
21244,"WENDY'S, Homestyle Chicken Fillet Sandwich",230,1.0 item,24.6
36614,"DENNY'S, chicken nuggets, star shaped, from kid's menu",67,1.0 serving 4 pieces in serving,24.5
11300,"Peas, edible-podded, raw",98,"1.0 cup, chopped",24.5
11339,"Peppers, sweet, green, sauteed",115,1.0 cup chopped,24.5
